cnt is 390
conv_0, quant var = 3.746e-06, quant bias = -1.422e-04
conv_1_1_1, quant var = 3.190e-05, quant bias = -1.431e-03
conv_1_1_2, quant var = 1.047e-05, quant bias = 9.071e-05
conv_1_2_1, quant var = 1.060e-05, quant bias = 3.353e-04
conv_1_2_2, quant var = 3.340e-06, quant bias = -4.272e-04
conv_1_3_1, quant var = 9.742e-06, quant bias = -1.828e-03
conv_1_3_2, quant var = 2.702e-06, quant bias = -1.253e-04
conv_1_4_1, quant var = 9.941e-06, quant bias = -2.747e-03
conv_1_4_2, quant var = 3.057e-06, quant bias = -2.371e-04
conv_1_5_1, quant var = 2.247e-06, quant bias = 6.600e-05
conv_1_5_2, quant var = 1.547e-06, quant bias = -1.641e-04
conv_1_6_1, quant var = 2.538e-06, quant bias = 4.750e-05
conv_1_6_2, quant var = 1.825e-06, quant bias = -1.000e-03
conv_1_7_1, quant var = 2.909e-06, quant bias = 1.117e-04
conv_1_7_2, quant var = 1.083e-06, quant bias = -5.467e-04
conv_1_8_1, quant var = 2.701e-06, quant bias = 7.915e-04
conv_1_8_2, quant var = 1.197e-06, quant bias = -1.228e-05
conv_1_9_1, quant var = 2.427e-06, quant bias = 8.548e-04
conv_1_9_2, quant var = 1.102e-06, quant bias = -4.743e-04
conv_2_1_1, quant var = 8.473e-06, quant bias = -2.857e-03
conv_2_1_2, quant var = 7.904e-06, quant bias = -1.392e-04
conv_2_1_skip, quant var = 3.365e-06, quant bias = -1.030e-04
conv_2_2_1, quant var = 4.529e-06, quant bias = -2.295e-03
conv_2_2_2, quant var = 2.825e-06, quant bias = -4.094e-04
conv_2_3_1, quant var = 4.927e-06, quant bias = -1.889e-04
conv_2_3_2, quant var = 1.963e-06, quant bias = -8.524e-04
conv_2_4_1, quant var = 2.989e-06, quant bias = -6.215e-04
conv_2_4_2, quant var = 1.781e-06, quant bias = -5.865e-04
conv_2_5_1, quant var = 3.106e-06, quant bias = -1.017e-03
conv_2_5_2, quant var = 2.107e-06, quant bias = -5.883e-04
conv_2_6_1, quant var = 2.881e-06, quant bias = -9.214e-04
conv_2_6_2, quant var = 1.145e-06, quant bias = -2.391e-04
conv_2_7_1, quant var = 2.513e-06, quant bias = -1.071e-03
conv_2_7_2, quant var = 1.164e-06, quant bias = -7.333e-04
conv_2_8_1, quant var = 1.536e-06, quant bias = 7.368e-04
conv_2_8_2, quant var = 1.023e-06, quant bias = -4.986e-04
conv_2_9_1, quant var = 1.446e-06, quant bias = 6.956e-04
conv_2_9_2, quant var = 1.022e-06, quant bias = -4.651e-04
conv_3_1_1, quant var = 5.977e-06, quant bias = -3.106e-04
conv_3_1_2, quant var = 6.534e-06, quant bias = -1.707e-03
conv_3_1_skip, quant var = 1.777e-06, quant bias = -2.871e-04
conv_3_2_1, quant var = 5.717e-06, quant bias = -1.993e-03
conv_3_2_2, quant var = 2.743e-06, quant bias = -7.409e-04
conv_3_3_1, quant var = 3.166e-06, quant bias = 1.855e-03
conv_3_3_2, quant var = 1.915e-06, quant bias = 2.524e-04
conv_3_4_1, quant var = 1.558e-06, quant bias = 2.374e-04
conv_3_4_2, quant var = 1.027e-06, quant bias = 1.296e-04
conv_3_5_1, quant var = 8.691e-07, quant bias = 4.657e-04
conv_3_5_2, quant var = 5.151e-07, quant bias = -2.722e-04
conv_3_6_1, quant var = 3.023e-07, quant bias = -4.157e-04
conv_3_6_2, quant var = 2.858e-07, quant bias = 5.236e-05
conv_3_7_1, quant var = 5.132e-07, quant bias = 2.500e-04
conv_3_7_2, quant var = 6.521e-07, quant bias = -7.189e-04
conv_3_8_1, quant var = 2.740e-06, quant bias = 1.935e-03
conv_3_8_2, quant var = 9.939e-06, quant bias = -6.465e-04
conv_3_9_1, quant var = 2.676e-05, quant bias = 1.972e-03
conv_3_9_2, quant var = 2.579e-06, quant bias = -2.989e-03
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 2.373e-04, Quant bias = -2.192e-02
