cnt is 390
conv_0, quant var = 1.406e-08, quant bias = 2.061e-05
conv_1_1_1, quant var = 8.992e-08, quant bias = 2.882e-04
conv_1_1_2, quant var = 3.852e-08, quant bias = -4.342e-05
conv_1_2_1, quant var = 3.497e-08, quant bias = 8.808e-05
conv_1_2_2, quant var = 1.437e-08, quant bias = 4.603e-06
conv_1_3_1, quant var = 4.934e-08, quant bias = -1.910e-07
conv_1_3_2, quant var = 1.500e-08, quant bias = 2.451e-05
conv_1_4_1, quant var = 1.893e-08, quant bias = -4.980e-05
conv_1_4_2, quant var = 1.635e-08, quant bias = 6.688e-05
conv_1_5_1, quant var = 2.088e-08, quant bias = -2.693e-05
conv_1_5_2, quant var = 1.784e-08, quant bias = 3.837e-05
conv_1_6_1, quant var = 1.033e-08, quant bias = 3.213e-05
conv_1_6_2, quant var = 1.057e-08, quant bias = -2.718e-05
conv_1_7_1, quant var = 3.983e-08, quant bias = -2.348e-05
conv_1_7_2, quant var = 7.441e-09, quant bias = 3.675e-06
conv_1_8_1, quant var = 1.721e-08, quant bias = 8.016e-05
conv_1_8_2, quant var = 5.846e-09, quant bias = 2.865e-06
conv_1_9_1, quant var = 2.090e-08, quant bias = 6.961e-05
conv_1_9_2, quant var = 5.595e-09, quant bias = -1.143e-05
conv_2_1_1, quant var = 2.760e-08, quant bias = -7.651e-05
conv_2_1_2, quant var = 2.864e-07, quant bias = -2.114e-04
conv_2_1_skip, quant var = 3.930e-08, quant bias = -1.220e-05
conv_2_2_1, quant var = 3.613e-08, quant bias = -9.041e-05
conv_2_2_2, quant var = 3.350e-08, quant bias = 6.153e-05
conv_2_3_1, quant var = 2.675e-08, quant bias = -6.390e-05
conv_2_3_2, quant var = 2.490e-08, quant bias = -1.394e-04
conv_2_4_1, quant var = 3.733e-08, quant bias = -2.390e-05
conv_2_4_2, quant var = 2.582e-08, quant bias = 5.058e-05
conv_2_5_1, quant var = 2.309e-08, quant bias = 1.361e-04
conv_2_5_2, quant var = 1.696e-08, quant bias = -7.358e-05
conv_2_6_1, quant var = 3.480e-08, quant bias = 6.513e-05
conv_2_6_2, quant var = 2.570e-08, quant bias = 2.112e-05
conv_2_7_1, quant var = 2.648e-08, quant bias = -2.195e-06
conv_2_7_2, quant var = 8.691e-09, quant bias = -5.279e-05
conv_2_8_1, quant var = 3.432e-08, quant bias = -7.701e-05
conv_2_8_2, quant var = 2.902e-08, quant bias = -2.574e-05
conv_2_9_1, quant var = 6.029e-08, quant bias = -5.038e-05
conv_2_9_2, quant var = 1.618e-08, quant bias = -2.715e-06
conv_3_1_1, quant var = 1.186e-07, quant bias = 6.817e-07
conv_3_1_2, quant var = 5.114e-07, quant bias = 2.362e-04
conv_3_1_skip, quant var = 6.306e-08, quant bias = -9.872e-05
conv_3_2_1, quant var = 1.241e-07, quant bias = -1.691e-04
conv_3_2_2, quant var = 2.375e-07, quant bias = -4.530e-04
conv_3_3_1, quant var = 3.349e-07, quant bias = 4.228e-04
conv_3_3_2, quant var = 1.816e-07, quant bias = 2.660e-04
conv_3_4_1, quant var = 7.417e-08, quant bias = -1.093e-04
conv_3_4_2, quant var = 1.728e-07, quant bias = -2.355e-04
conv_3_5_1, quant var = 6.423e-08, quant bias = -2.331e-04
conv_3_5_2, quant var = 4.267e-07, quant bias = 3.886e-05
conv_3_6_1, quant var = 2.713e-07, quant bias = -3.235e-05
conv_3_6_2, quant var = 5.048e-07, quant bias = -8.243e-07
conv_3_7_1, quant var = 1.840e-06, quant bias = -5.146e-04
conv_3_7_2, quant var = 1.966e-06, quant bias = -3.888e-04
conv_3_8_1, quant var = 4.365e-05, quant bias = 1.465e-04
conv_3_8_2, quant var = 2.087e-05, quant bias = 3.057e-03
conv_3_9_1, quant var = 9.237e-06, quant bias = 7.561e-04
conv_3_9_2, quant var = 1.171e-05, quant bias = 3.039e-03
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 9.362e-05, Quant bias = 5.697e-03
